code,abund.correlation,species.trend,trend.at.highest.predictions,trend.at.best.nfj.data,filename,n.data,run,nlabel,common,label
PARNCLO,0.9529,-0.00676749329200095,-0.00576237632343668,-0.00646039542067075,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PARNCLO-full-run-all-sources-V1.html,9755,all sources,(N = 9755),Clodius Parnassian,PARNCLO: Clodius Parnassian
PARNPHO,0.9747,-0.0319793414280569,-0.0314127399243045,-0.0317885680906424,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PARNPHO-full-run-all-sources-V1.html,8226,all sources,(N = 8226),Rocky Mountain Parnassian,PARNPHO: Rocky Mountain Parnassian
PARRMAL,0.865,-0.00262869881354596,-0.00186972368978722,-0.00192324257881282,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PARRMAL-full-run-all-sources-V1.html,72077,all sources,(N = 72077),White-M Hairstreak,PARRMAL: White-M Hairstreak
PHOEAGA,0.7494,0.0145785456323068,0.0153581609729132,0.0150239121863319,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHOEAGA-full-run-all-sources-V1.html,4350,all sources,(N = 4350),Large Orange Sulphur,PHOEAGA: Large Orange Sulphur
PHOESEN,0.5263,-0.00168941711240556,-4.5394072333948e-4,-6.3103013523635e-4,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHOESEN-full-run-all-sources-V1.html,33044,all sources,(N = 33044),Cloudless Sulphur,PHOESEN: Cloudless Sulphur
PHOLCAT,0.2781,-0.0424655229152398,-0.0417704464726731,-0.0438072493507095,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHOLCAT-full-run-all-sources-V1.html,88712,all sources,(N = 88712),Common Sootywing,PHOLCAT: Common Sootywing
PHYBAT,0.7841,-0.08184021300935,-0.0810077467578894,-0.0815423355760668,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYBAT-full-run-all-sources-V1.html,70530,all sources,(N = 70530),NA,PHYBAT: NA
PHYCAM,0.8428,-0.0523163543086174,-0.0513012215386865,-0.0522627129944449,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYCAM-full-run-all-sources-V1.html,23874,all sources,(N = 23874),Field Crescent,PHYCAM: Field Crescent
PHYMYL,0.9477,-0.0228691392159958,-0.0219243560842006,-0.0238363047287353,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYMYL-full-run-all-sources-V1.html,14938,all sources,(N = 14938),Mylitta Crescent,PHYMYL: Mylitta Crescent
PHYORS,0.9954,-0.0248891869639045,-0.0241282153879796,-0.0261608788349264,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYORS-full-run-all-sources-V1.html,2275,all sources,(N = 2275),California Crescent,PHYORS: California Crescent
PHYPAL,0.3101,-0.00162447624074476,-9.9685502487101e-4,-0.00108622705006606,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYPAL-full-run-all-sources-V1.html,7145,all sources,(N = 7145),NA,PHYPAL: NA
PHYPIC,0.9089,-0.0303912293185854,-0.0298844327629579,-0.0302187596447004,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYPIC-full-run-all-sources-V1.html,5386,all sources,(N = 5386),NA,PHYPIC: NA
PHYSEL,0.9731,-0.0118365975905233,-0.0107506309736127,-0.0146688510641401,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYSEL-full-run-all-sources-V1.html,84028,all sources,(N = 84028),Northern Crescent,PHYSEL: Northern Crescent
PHYTEX,0.9284,-0.0289558727481384,-0.0278371358388556,-0.0297370911222485,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYTEX-full-run-all-sources-V1.html,3085,all sources,(N = 3085),Texan Crescent,PHYTEX: Texan Crescent
PHYTHA,0.752,-3.5699376572211e-4,1.15061796543969e-5,-8.75148672143133e-5,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PHYTHA-full-run-all-sources-V1.html,82583,all sources,(N = 82583),Pearl Crescent,PHYTHA: Pearl Crescent
PIENAP,0.9656,-0.0116453731852738,-0.0109874161128527,-0.0163293133608285,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PIENAP-full-run-all-sources-V1.html,72159,all sources,(N = 72159),Margined White,PIENAP: Margined White
PIERAP,0.6945,-0.0253385890923901,-0.0247185667654026,-0.0251498934984741,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PIERAP-full-run-all-sources-V1.html,88788,all sources,(N = 88788),Cabbage White,PIERAP: Cabbage White
PIEVIR,0.7804,0.0345142537951526,0.0353330997762873,0.034263742890993903,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PIEVIR-full-run-all-sources-V1.html,58530,all sources,(N = 58530),NA,PIEVIR: NA
PLEACM,0.9656,-0.0402054030099506,-0.0386732823091056,-0.0399415177903645,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PLEACM-full-run-all-sources-V1.html,737,all sources,(N = 737),Acmon Blue,PLEACM: Acmon Blue
PLEICA,0.7159,0.00631219736326759,0.00734539499046605,0.00627046451342036,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PLEICA-full-run-all-sources-V1.html,16001,all sources,(N = 16001),Boisduval's Blue,PLEICA: Boisduval's Blue
PLELUP,0.9473,-0.00699148186035602,-0.00620933799547041,-0.00646973463445776,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PLELUP-full-run-all-sources-V1.html,12384,all sources,(N = 12384),Lupine Blue,PLELUP: Lupine Blue
PLESAE,0.8688,-0.027365411371805,-0.0266817017227923,-0.0274271837290461,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PLESAE-full-run-all-sources-V1.html,32438,all sources,(N = 32438),Greenish Blue,PLESAE: Greenish Blue
PLESHA,0.9979,-0.0225997102271484,-0.0215318953734673,-0.02430691862543,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PLESHA-full-run-all-sources-V1.html,4414,all sources,(N = 4414),Shasta Blue,PLESHA: Shasta Blue
POAHOB,0.9431,-0.0488527744884262,-0.0475855468615265,-0.0487004261500068,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POAHOB-full-run-all-sources-V1.html,71431,all sources,(N = 71431),Hobomok Skipper,POAHOB: Hobomok Skipper
POAMAS,0.843,-0.0220817885531549,-0.0213037128658353,-0.0225593722833524,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POAMAS-full-run-all-sources-V1.html,67722,all sources,(N = 67722),Mulberry Wing,POAMAS: Mulberry Wing
POAMEL,0.9786,NA,0.0818877263450092,0.0810012444756731,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POAMEL-full-run-all-sources-V1.html,6098,all sources,(N = 6098),Umber Skipper,POAMEL: Umber Skipper
POATAX,0.5846,0.0182050747710138,0.0186473033676967,0.017914588928134,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POATAX-full-run-all-sources-V1.html,5416,all sources,(N = 5416),Taxiles Skipper,POATAX: Taxiles Skipper
POAVIA,0.9621,-0.00219092468206974,-8.7994503869892e-4,-0.00200052991870218,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POAVIA-full-run-all-sources-V1.html,72663,all sources,(N = 72663),Broad-winged Skipper,POAVIA: Broad-winged Skipper
POAZAB,0.8044,0.0576750528005587,0.0581069870094268,0.0579445794573491,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POAZAB-full-run-all-sources-V1.html,71691,all sources,(N = 71691),Zabulon Skipper,POAZAB: Zabulon Skipper
POLIMYS,0.8686,-0.0402144136006185,-0.0392919106163774,-0.0433427864466801,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLIMYS-full-run-all-sources-V1.html,75887,all sources,(N = 75887),Long Dash,POLIMYS: Long Dash
POLIORI,0.8577,-0.0250659064346628,-0.0245422441852409,-0.0250138469501378,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLIORI-full-run-all-sources-V1.html,77922,all sources,(N = 77922),Crossline Skipper,POLIORI: Crossline Skipper
POLIPEC,0.8972,-0.0149642663010569,-0.0134543759914703,-0.0154247591815388,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLIPEC-full-run-all-sources-V1.html,77736,all sources,(N = 77736),Peck's Skipper,POLIPEC: Peck's Skipper
POLISAB,0.9804,-0.133340235600464,-0.132738813163982,-0.134178108895342,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLISAB-full-run-all-sources-V1.html,15358,all sources,(N = 15358),Sandhill Skipper,POLISAB: Sandhill Skipper
POLISON,0.9079,-0.0502262806649096,-0.0494918972162415,-0.050736825467341,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLISON-full-run-all-sources-V1.html,13433,all sources,(N = 13433),Sonora Skipper,POLISON: Sonora Skipper
POLITHE,0.8721,-0.0270976716736645,-0.025968068931526,-0.0267852215406187,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLITHE-full-run-all-sources-V1.html,80530,all sources,(N = 80530),Tawny-edged Skipper,POLITHE: Tawny-edged Skipper
POLYCOM,0.5867,-2.3805511164893e-4,1.9460124128478e-4,-2.0874803295906e-4,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLYCOM-full-run-all-sources-V1.html,72877,all sources,(N = 72877),Eastern Comma,POLYCOM: Eastern Comma
POLYFAU,0.9725,0.00830082581526788,0.00903611698773166,0.00824854754451731,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLYFAU-full-run-all-sources-V1.html,41632,all sources,(N = 41632),Green Comma,POLYFAU: Green Comma
POLYGRA,0.8878,-0.0334254423173688,-0.0323983309700386,-0.0335687478614077,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLYGRA-full-run-all-sources-V1.html,20440,all sources,(N = 20440),Hoary Comma,POLYGRA: Hoary Comma
POLYINT,0.9994,-0.015482942533105,-0.0150062308639636,-0.015391765637316,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLYINT-full-run-all-sources-V1.html,75430,all sources,(N = 75430),Question Mark,POLYINT: Question Mark
POLYPRO,0.9748,0.0126202075496775,0.0142937273360921,0.0126401389005576,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLYPRO-full-run-all-sources-V1.html,71751,all sources,(N = 71751),Gray Comma,POLYPRO: Gray Comma
POLYSAT,0.9933,-0.0223518965196598,-0.0219397949149185,-0.0224466909545574,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POLYSAT-full-run-all-sources-V1.html,20780,all sources,(N = 20780),Satyr Comma,POLYSAT: Satyr Comma
POMVER,0.8977,0.0135059484461607,0.0141384866949357,0.0138101915200129,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/POMVER-full-run-all-sources-V1.html,72674,all sources,(N = 72674),Little Glassywing,POMVER: Little Glassywing
PONBEC,0.9743,-0.00681907264709785,-0.00627829441644456,-0.00680417858570138,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PONBEC-full-run-all-sources-V1.html,11777,all sources,(N = 11777),Becker's White,PONBEC: Becker's White
PONOCC,0.8016,-0.00894981845142183,-0.00847522461957384,-0.00884866136688054,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PONOCC-full-run-all-sources-V1.html,12677,all sources,(N = 12677),Western White,PONOCC: Western White
PONPRO,0.9942,-0.0531060227269993,-0.0516319532160319,-0.0518159721086598,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PONPRO-full-run-all-sources-V1.html,30044,all sources,(N = 30044),Checkered White,PONPRO: Checkered White
PONSIS,0.7872,-0.0170321571324002,-0.0164127801861127,-0.0180992824794423,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PONSIS-full-run-all-sources-V1.html,11464,all sources,(N = 11464),Spring White,PONSIS: Spring White
PROBYS,0.913,0.00678100430256973,0.00730530896116072,0.00662796179563889,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PROBYS-full-run-all-sources-V1.html,33005,all sources,(N = 33005),NA,PROBYS: NA
PYRALB,0.2506,0.030021385506067,0.0307730297082569,0.0295184803823341,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PYRALB-full-run-all-sources-V1.html,3991,all sources,(N = 3991),White Checkered-Skipper,PYRALB: White Checkered-Skipper
PYRCOM,0.7879,0.00989525680042901,0.0112796176048167,0.0101241329910909,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PYRCOM-full-run-all-sources-V1.html,89303,all sources,(N = 89303),Common Checkered-Skipper,PYRCOM: Common Checkered-Skipper
PYRRUR,0.9919,NA,-0.0351194193618725,-0.0356911099924486,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PYRRUR-full-run-all-sources-V1.html,9515,all sources,(N = 9515),Two-banded Checkered-Skipper,PYRRUR: Two-banded Checkered-Skipper
PYRSCR,0.9962,-0.0600607031953367,-0.0594444711112972,-0.0608574482453119,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/PYRSCR-full-run-all-sources-V1.html,11626,all sources,(N = 11626),Small Checkered-Skipper,PYRSCR: Small Checkered-Skipper
SATACA,0.9285,-0.0812583985858809,-0.0806691058086244,-0.0813339281349058,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATACA-full-run-all-sources-V1.html,71684,all sources,(N = 71684),Acadian Hairstreak,SATACA: Acadian Hairstreak
SATAUR,0.4035,-0.0257669137874368,-0.0254300446122449,-0.0257503235815837,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATAUR-full-run-all-sources-V1.html,6255,all sources,(N = 6255),Gold-hunter's Hairstreak,SATAUR: Gold-hunter's Hairstreak
SATBEH,0.9471,-0.00827635319196766,-0.00680470662101573,-0.00887905763766561,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATBEH-full-run-all-sources-V1.html,10551,all sources,(N = 10551),Behr's Hairstreak,SATBEH: Behr's Hairstreak
SATCA1,0.9455,-0.0232510622191336,-0.0225372517313152,-0.0228265909539737,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATCA1-full-run-all-sources-V1.html,76029,all sources,(N = 76029),Banded Hairstreak,SATCA1: Banded Hairstreak
SATCA2,0.985,0.00336099061321541,0.00444565612392278,0.00364527692326844,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATCA2-full-run-all-sources-V1.html,14592,all sources,(N = 14592),California Hairstreak,SATCA2: California Hairstreak
SATCA3,0.9185,-0.0364177672490791,-0.0356549263695202,-0.0356964649356155,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATCA3-full-run-all-sources-V1.html,70868,all sources,(N = 70868),Hickory Hairstreak,SATCA3: Hickory Hairstreak
SATEDW,0.943,-0.0391317014285556,-0.0377809944978935,-0.0411712313769097,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATEDW-full-run-all-sources-V1.html,72890,all sources,(N = 72890),Edwards' Hairstreak,SATEDW: Edwards' Hairstreak
SATFAV,0.8761,-0.0392002991013031,-0.0385196056997428,-0.0386129036294703,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATFAV-full-run-all-sources-V1.html,42110,all sources,(N = 42110),NA,SATFAV: NA
SATFUL,0.9653,0.0114895557642981,0.0120608057332845,0.0117245724886117,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATFUL-full-run-all-sources-V1.html,3938,all sources,(N = 3938),Sooty Hairstreak,SATFUL: Sooty Hairstreak
SATLIP,0.8562,-0.0413840491469333,-0.040798339449979897,-0.040855467271377,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATLIP-full-run-all-sources-V1.html,79387,all sources,(N = 79387),Striped Hairstreak,SATLIP: Striped Hairstreak
SATSAE,0.9956,-0.0360780594546935,-0.0356388636480796,-0.0357937301479507,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATSAE-full-run-all-sources-V1.html,14339,all sources,(N = 14339),Hedgerow Hairstreak,SATSAE: Hedgerow Hairstreak
SATSYL,0.7775,-0.0122684970504185,-0.0115054190032128,-0.0122563692986476,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATSYL-full-run-all-sources-V1.html,13911,all sources,(N = 13911),Sylvan Hairstreak,SATSYL: Sylvan Hairstreak
SATTET,0.7493,-0.102905101877283,-0.10198734498789,-0.102952379406124,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATTET-full-run-all-sources-V1.html,6514,all sources,(N = 6514),Mountain Mahogany Hairstreak,SATTET: Mountain Mahogany Hairstreak
SATTIT,0.9288,-0.0389464151686186,-0.038092024725388,-0.0385709775865429,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATTIT-full-run-all-sources-V1.html,80591,all sources,(N = 80591),Coral Hairstreak,SATTIT: Coral Hairstreak
SATYAPP,0.8086,0.0088412516995918,0.00951844111398492,0.00879521299163219,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATYAPP-full-run-all-sources-V1.html,72694,all sources,(N = 72694),Appalachian Brown,SATYAPP: Appalachian Brown
SATYEUR,0.7575,-0.047322061878156,-0.0461330021259272,-0.0472128862237395,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SATYEUR-full-run-all-sources-V1.html,66505,all sources,(N = 66505),Eyed Brown,SATYEUR: Eyed Brown
SPEYAPH,0.9373,-0.0756837668937408,-0.074054738619882,-0.0758561869391901,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYAPH-full-run-all-sources-V1.html,77596,all sources,(N = 77596),Aphrodite Fritillary,SPEYAPH: Aphrodite Fritillary
SPEYATL,0.8779,-0.042291363932613,-0.0417896377392992,-0.0501590707488915,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYATL-full-run-all-sources-V1.html,68993,all sources,(N = 68993),Atlantis/Northwestern Fritillary,SPEYATL: Atlantis/Northwestern Fritillary
SPEYCAL,0.9304,-0.019676503369262,-0.0179473812494306,-0.0201077041856143,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYCAL-full-run-all-sources-V1.html,20105,all sources,(N = 20105),Callippe Fritillary,SPEYCAL: Callippe Fritillary
SPEYCOR,0.9711,-0.0130273192494481,-0.0121924640493258,-0.0141270535466712,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYCOR-full-run-all-sources-V1.html,13513,all sources,(N = 13513),Coronis Fritillary,SPEYCOR: Coronis Fritillary
SPEYCYB,0.9061,-0.0170654726359529,-0.0162111963764398,-0.0166199820057309,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYCYB-full-run-all-sources-V1.html,76449,all sources,(N = 76449),Great Spangled Fritillary,SPEYCYB: Great Spangled Fritillary
SPEYEDW,0.92490000000000006,0.0224247921467877,0.0231256686675767,0.0230952047906227,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYEDW-full-run-all-sources-V1.html,5928,all sources,(N = 5928),NA,SPEYEDW: NA
SPEYEGL,0.9862,-0.0157716716323772,-0.0151972054734206,-0.0163553410077845,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYEGL-full-run-all-sources-V1.html,9905,all sources,(N = 9905),Great Basin Fritillary,SPEYEGL: Great Basin Fritillary
SPEYHYD,0.9288,0.00389456517727777,0.00465046852366235,0.00408931900583922,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYHYD-full-run-all-sources-V1.html,9121,all sources,(N = 9121),Hydaspe Fritillary,SPEYHYD: Hydaspe Fritillary
SPEYIDA,0.6889,0.0197776467788164,0.0203806973331184,0.0199686949043618,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYIDA-full-run-all-sources-V1.html,73083,all sources,(N = 73083),Regal Fritillary,SPEYIDA: Regal Fritillary
SPEYMOR,0.4443,0.0335488949928918,0.0344961492208542,0.0322502717543336,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYMOR-full-run-all-sources-V1.html,7629,all sources,(N = 7629),Mormon Fritillary,SPEYMOR: Mormon Fritillary
SPEYZER,0.9719,-0.0310788718303681,-0.0299161132291417,-0.0319531745772342,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/SPEYZER-full-run-all-sources-V1.html,13094,all sources,(N = 13094),Zerene Fritillary,SPEYZER: Zerene Fritillary
STAPHAY,0.95,-0.0307559629117448,-0.0300265584794248,-0.0315924160597718,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/STAPHAY-full-run-all-sources-V1.html,39675,all sources,(N = 39675),Hayhurst's Scallopwing,STAPHAY: Hayhurst's Scallopwing
STRMEL,0.9356,-0.00138737120722203,-7.7278889974241e-4,-0.00139073599625684,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/STRMEL-full-run-all-sources-V1.html,90690,all sources,(N = 90690),Gray Hairstreak,STRMEL: Gray Hairstreak
THOBAT,0.9193,-0.0394232788516871,-0.038930730088786,-0.0393601625744243,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/THOBAT-full-run-all-sources-V1.html,74167,all sources,(N = 74167),Southern Cloudywing,THOBAT: Southern Cloudywing
THOMEX,0.9325,-0.0908464931053076,-0.0898664310629664,-0.0918919604267666,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/THOMEX-full-run-all-sources-V1.html,5955,all sources,(N = 5955),Mexican Cloudywing,THOMEX: Mexican Cloudywing
THOPYL,0.8963,-0.0225678315118304,-0.0218004880409914,-0.0218708186156711,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/THOPYL-full-run-all-sources-V1.html,90287,all sources,(N = 90287),Northern Cloudywing,THOPYL: Northern Cloudywing
THYLIN,0.9776,-0.129278570354427,-0.12857286171757,-0.129506334477768,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/THYLIN-full-run-all-sources-V1.html,73527,all sources,(N = 73527),European Skipper,THYLIN: European Skipper
URBPR3,0.9858,0.0457165859235451,0.0462516447479469,0.0459694639969501,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/URBPR3-full-run-all-sources-V1.html,13473,all sources,(N = 13473),Long-tailed Skipper,URBPR3: Long-tailed Skipper
VANANN,0.9208,-0.0738581278217775,-0.07310767579082,-0.0737902815020959,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/VANANN-full-run-all-sources-V1.html,15201,all sources,(N = 15201),West Coast Lady,VANANN: West Coast Lady
VANATA,0.6179,-0.00962218832466895,-0.00901046822182572,-0.00906901693369877,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/VANATA-full-run-all-sources-V1.html,90478,all sources,(N = 90478),Red Admiral,VANATA: Red Admiral
VANCAR,0.3929,-0.0190154290271246,-0.0185637230150548,-0.0188258512719291,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/VANCAR-full-run-all-sources-V1.html,90354,all sources,(N = 90354),Painted Lady,VANCAR: Painted Lady
VANVIR,0.9887,-0.024791373263465,-0.0233222914650879,-0.0243155144719618,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/VANVIR-full-run-all-sources-V1.html,9094,all sources,(N = 9094),American Lady,VANVIR: American Lady
WALEGE,0.8886,-0.00899137534882658,-0.00747946712137981,-0.00883682459922884,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V1/WALEGE-full-run-all-sources-V1.html,73711,all sources,(N = 73711),Northern Broken-Dash,WALEGE: Northern Broken-Dash
ACHLYC,NA,-0.0637532922964831,-0.0632080162155528,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/ACHLYC-full-run-only-OhioLeps-V1.html,24016,OhioLeps,(N = 24016),Hoary Edge,ACHLYC: Hoary Edge
ANATLOG,NA,0.00106456057149867,0.00225449364695507,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/ANATLOG-full-run-only-OhioLeps-V1.html,24016,OhioLeps,(N = 24016),Delaware Skipper,ANATLOG: Delaware Skipper
ANCNUM,NA,0.0375124334988456,0.0380853381503456,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/ANCNUM-full-run-only-OhioLeps-V1.html,24016,OhioLeps,(N = 24016),Least Skipper,ANCNUM: Least Skipper
ANTHMID,NA,-0.0739463758060055,-0.0732999425868259,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/ANTHMID-full-run-only-OhioLeps-V1.html,21229,OhioLeps,(N = 21229),NA,ANTHMID: NA
ASTCLY,NA,-0.0860649462223202,-0.0847713373110253,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/ASTCLY-full-run-only-OhioLeps-V1.html,24016,OhioLeps,(N = 24016),Tawny Emperor,ASTCLY: Tawny Emperor
ATACAM,NA,0.066822346206352,0.0677652435118166,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/ATACAM-full-run-only-OhioLeps-V1.html,24016,OhioLeps,(N = 24016),Sachem skipper,ATACAM: Sachem skipper
BATPHI,NA,0.0591704713030833,0.0600115889937314,NA,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-OhioLeps-V1/BATPHI-full-run-only-OhioLeps-V1.html,24016,OhioLeps,(N = 24016),Pipevine Swallowtail,BATPHI: Pipevine Swallowtail
